Timestamp (s),Time Format (HH:MM:SS),Value
9984.000,02:46:24,47500
9986.000,02:46:26,47500
9988.000,02:46:28,4749.5
9990.000,02:46:30,4749.5
9992.000,02:46:32,4749.5
9994.000,02:46:34,4749.5
9996.000,02:46:36,4749.5
9998.000,02:46:38,4749.5
10000.000,02:46:40,4749.5
10002.000,02:46:42,4749.5
10004.000,02:46:44,4749.5
10006.000,02:46:46,4749.5
10008.000,02:46:48,4749.5
10010.000,02:46:50,17495
10012.000,02:46:52,17495
10014.000,02:46:54,17495
10016.000,02:46:56,17495
10018.000,02:46:58,17495
10020.000,02:47:00,17495
10022.000,02:47:02,17495
10024.000,02:47:04,17495
10026.000,02:47:06,17495
10028.000,02:47:08,4749.0
10030.000,02:47:10,4749.0
10032.000,02:47:12,4749.0
10034.000,02:47:14,4749.0
10036.000,02:47:16,4749.0
10038.000,02:47:18,4749.0
10040.000,02:47:20,4749.0
10042.000,02:47:22,4749.0
10044.000,02:47:24,4749.0
10046.000,02:47:26,4749.0
10048.000,02:47:28,47485
10050.000,02:47:30,47485
10052.000,02:47:32,47485
10054.000,02:47:34,47485
10056.000,02:47:36,47485
10058.000,02:47:38,47485
10060.000,02:47:40,47485
10062.000,02:47:42,47485
10064.000,02:47:44,47485
10066.000,02:47:46,47485
10068.000,02:47:48,47485
10070.000,02:47:50,47485
10072.000,02:47:52,47485
10074.000,02:47:54,47485
10076.000,02:47:56,47485
10078.000,02:47:58,47485
10080.000,02:48:00,47485
10082.000,02:48:02,4748.0
10084.000,02:48:04,4748.0
10086.000,02:48:06,4748.0
10088.000,02:48:08,4748.0
10090.000,02:48:10,4748.0
10092.000,02:48:12,4748.0
10094.000,02:48:14,4748.0
10096.000,02:48:16,4748.0
10098.000,02:48:18,4748.0
10100.000,02:48:20,4748.0
10102.000,02:48:22,4748.0
10104.000,02:48:24,4748.0
10106.000,02:48:26,4748.0
10108.000,02:48:28,4748.0
10110.000,02:48:30,4748.0
10112.000,02:48:32,47475
10114.000,02:48:34,47475
10116.000,02:48:36,47415
10118.000,02:48:38,47480
10120.000,02:48:40,47475
10122.000,02:48:42,47475
10124.000,02:48:44,47475
10126.000,02:48:46,47475
10130.000,02:48:50,
10128.000,02:48:48,47475
10132.000,02:48:52,
10134.000,02:48:54,
10136.000,02:48:56,
10138.000,02:48:58,
10140.000,02:49:00,
10142.000,02:49:02,
10144.000,02:49:04,
10146.000,02:49:06,
10148.000,02:49:08,
10150.000,02:49:10,
10152.000,02:49:12,
10154.000,02:49:14,47410
10156.000,02:49:16,47410
10158.000,02:49:18,
10160.000,02:49:20,47410
10162.000,02:49:22,47410
10164.000,02:49:24,47410
10166.000,02:49:26,47410
10168.000,02:49:28,47410
10170.000,02:49:30,47410
10172.000,02:49:32,47410
10174.000,02:49:34,47410
10176.000,02:49:36,47410
10178.000,02:49:38,47410
10180.000,02:49:40,47410
10182.000,02:49:42,47410
10184.000,02:49:44,47410
10186.000,02:49:46,47410
10188.000,02:49:48,
10190.000,02:49:50,
10192.000,02:49:52,47465
10194.000,02:49:54,47465
10196.000,02:49:56,47465
10198.000,02:49:58,47465
10200.000,02:50:00,47465
10202.000,02:50:02,47465
10204.000,02:50:04,47465
10206.000,02:50:06,47465
10208.000,02:50:08,47465
10210.000,02:50:10,47465
10212.000,02:50:12,47465
10214.000,02:50:14,47465
10216.000,02:50:16,47465
10218.000,02:50:18,47465
10220.000,02:50:20,47465
10222.000,02:50:22,47465
10224.000,02:50:24,47465
10226.000,02:50:26,47465
10228.000,02:50:28,4746.0
10230.000,02:50:30,47465
10232.000,02:50:32,4746.0
10234.000,02:50:34,4746.0
10236.000,02:50:36,4746.0
10238.000,02:50:38,4746.0
10240.000,02:50:40,4746.0
10242.000,02:50:42,4746.0
10244.000,02:50:44,4746.0
10246.000,02:50:46,4746.0
10248.000,02:50:48,4746.0
10250.000,02:50:50,4746.0
10252.000,02:50:52,4746.0
10254.000,02:50:54,4746.0
10256.000,02:50:56,4746.0
10258.000,02:50:58,4746.0
10260.000,02:51:00,4746.0
10262.000,02:51:02,4746.0
10264.000,02:51:04,4746.0
10266.000,02:51:06,4746.0
10268.000,02:51:08,4745.5
10270.000,02:51:10,4746.0
10272.000,02:51:12,4746.0
10274.000,02:51:14,4746.0
10276.000,02:51:16,4746.0
10278.000,02:51:18,4745.5
10280.000,02:51:20,4745.5
10282.000,02:51:22,47455
10284.000,02:51:24,47455
10286.000,02:51:26,47455
10288.000,02:51:28,47455
10290.000,02:51:30,47455
10292.000,02:51:32,47455
10294.000,02:51:34,47455
10296.000,02:51:36,47455
10298.000,02:51:38,47455
10300.000,02:51:40,47455
10302.000,02:51:42,47455
10304.000,02:51:44,47455
10306.000,02:51:46,47455
10308.000,02:51:48,4745.0
10310.000,02:51:50,4745.0
10312.000,02:51:52,4745.0
10314.000,02:51:54,4745.0
10316.000,02:51:56,4745.0
10318.000,02:51:58,4745.0
10320.000,02:52:00,4745.0
10322.000,02:52:02,4745.0
10324.000,02:52:04,4745.0
10326.000,02:52:06,4745.0
10328.000,02:52:08,4745.0
10330.000,02:52:10,47445
10332.000,02:52:12,47445
10334.000,02:52:14,47445
10336.000,02:52:16,47445
10338.000,02:52:18,47445
10340.000,02:52:20,47445
10342.000,02:52:22,4744.5
10344.000,02:52:24,47445
10346.000,02:52:26,47445
10348.000,02:52:28,47445
10350.000,02:52:30,47445
10352.000,02:52:32,47445
10354.000,02:52:34,47445
10356.000,02:52:36,47445
10358.000,02:52:38,47445
10360.000,02:52:40,47445
10362.000,02:52:42,47445
10364.000,02:52:44,47445
10366.000,02:52:46,47445
10368.000,02:52:48,47445
10370.000,02:52:50,47445
10372.000,02:52:52,47445
10374.000,02:52:54,
10376.000,02:52:56,
10378.000,02:52:58,47440
10380.000,02:53:00,47440
10382.000,02:53:02,47440
10384.000,02:53:04,47440
10386.000,02:53:06,47440
10388.000,02:53:08,47440
10390.000,02:53:10,47440
10392.000,02:53:12,47440
10394.000,02:53:14,47440
10396.000,02:53:16,47440
10398.000,02:53:18,47440
10400.000,02:53:20,47440
10402.000,02:53:22,47440
10404.000,02:53:24,47440
10406.000,02:53:26,47440
10408.000,02:53:28,47440
10410.000,02:53:30,47435
10412.000,02:53:32,47440
10414.000,02:53:34,47440
10416.000,02:53:36,47440
10418.000,02:53:38,47440
10420.000,02:53:40,47435
10422.000,02:53:42,47435
10424.000,02:53:44,47435
10426.000,02:53:46,47435
10428.000,02:53:48,47435
10430.000,02:53:50,47435
10432.000,02:53:52,47435
10434.000,02:53:54,47435
10436.000,02:53:56,47435
10438.000,02:53:58,47435
10440.000,02:54:00,4743.0
10442.000,02:54:02,4743.0
10444.000,02:54:04,4743.0
10446.000,02:54:06,47435
10448.000,02:54:08,47435
10450.000,02:54:10,4743.0
10452.000,02:54:12,4743.0
10454.000,02:54:14,4743.0
10456.000,02:54:16,4743.0
10458.000,02:54:18,4743.0
10460.000,02:54:20,4743.0
10462.000,02:54:22,4743.0
10464.000,02:54:24,4743.0
10466.000,02:54:26,4743.0
10468.000,02:54:28,4743.0
10470.000,02:54:30,4743.0
10472.000,02:54:32,4743.0
10474.000,02:54:34,4743.0
10476.000,02:54:36,
10478.000,02:54:38,
10480.000,02:54:40,
10482.000,02:54:42,
10484.000,02:54:44,
10486.000,02:54:46,
10488.000,02:54:48,
10490.000,02:54:50,
10492.000,02:54:52,
10494.000,02:54:54,47425
10496.000,02:54:56,4742.0
10498.000,02:54:58,4742.0
10500.000,02:55:00,4742.0
10502.000,02:55:02,4742.0
10504.000,02:55:04,4742.0
10506.000,02:55:06,4742.0
10508.000,02:55:08,4742.0
10510.000,02:55:10,4742.0
10512.000,02:55:12,4742.0
10514.000,02:55:14,4742.0
10516.000,02:55:16,4742.0
10518.000,02:55:18,4742.0
10520.000,02:55:20,4742.0
10522.000,02:55:22,4742.0
10524.000,02:55:24,4742.0
10526.000,02:55:26,47420
10528.000,02:55:28,47420
10530.000,02:55:30,47420
10532.000,02:55:32,47420
10534.000,02:55:34,47420
10536.000,02:55:36,47420
10538.000,02:55:38,47420
10540.000,02:55:40,47420
10542.000,02:55:42,47420
10544.000,02:55:44,47420
10546.000,02:55:46,47420
10548.000,02:55:48,47420
10550.000,02:55:50,47420
10552.000,02:55:52,47420
10554.000,02:55:54,47420
10556.000,02:55:56,4742.0
10558.000,02:55:58,4742.0
10560.000,02:56:00,4742.0
10562.000,02:56:02,4742.0
10564.000,02:56:04,47415
10566.000,02:56:06,47415
10568.000,02:56:08,47415
10570.000,02:56:10,47415
10572.000,02:56:12,47415
10574.000,02:56:14,47415
10576.000,02:56:16,47415
10578.000,02:56:18,47415
10580.000,02:56:20,47415
10582.000,02:56:22,47415
10584.000,02:56:24,47415
10586.000,02:56:26,47415
10588.000,02:56:28,47415
10590.000,02:56:30,47415
10592.000,02:56:32,47415
10594.000,02:56:34,47415
10596.000,02:56:36,47415
10598.000,02:56:38,47415
10600.000,02:56:40,47415
10602.000,02:56:42,47415
10604.000,02:56:44,47415
10606.000,02:56:46,47415
10608.000,02:56:48,47415
10610.000,02:56:50,47410
10612.000,02:56:52,47410
10614.000,02:56:54,47410
10616.000,02:56:56,47410
10618.000,02:56:58,47410
10620.000,02:57:00,47410
10622.000,02:57:02,47410
10624.000,02:57:04,47410
10626.000,02:57:06,47410
10628.000,02:57:08,47410
10630.000,02:57:10,47410
10632.000,02:57:12,47410
10634.000,02:57:14,47410
10636.000,02:57:16,47410
10638.000,02:57:18,47405
10640.000,02:57:20,47410
10642.000,02:57:22,47410
10644.000,02:57:24,47405
10646.000,02:57:26,47405
10648.000,02:57:28,47405
10650.000,02:57:30,47405
10652.000,02:57:32,47405
10654.000,02:57:34,47405
10656.000,02:57:36,47405
10658.000,02:57:38,47405
10660.000,02:57:40,47405
10662.000,02:57:42,47405
10664.000,02:57:44,4740.0
10666.000,02:57:46,4740.0
10668.000,02:57:48,4740.0
10670.000,02:57:50,4740.0
10672.000,02:57:52,4740.0
10674.000,02:57:54,4740.0
10676.000,02:57:56,4740.0
10678.000,02:57:58,4740.0
10680.000,02:58:00,4740.0
10682.000,02:58:02,4740.0
10684.000,02:58:04,4740.0
10686.000,02:58:06,4740.0
10688.000,02:58:08,4740.0
10690.000,02:58:10,4740.0
10692.000,02:58:12,4740.0
10694.000,02:58:14,4740.0
10696.000,02:58:16,4740.0
10698.000,02:58:18,4740.0
10700.000,02:58:20,47305
10702.000,02:58:22,47305
10704.000,02:58:24,47305
10706.000,02:58:26,41395
10708.000,02:58:28,41395
10710.000,02:58:30,41395
10712.000,02:58:32,41395
10714.000,02:58:34,41395
10716.000,02:58:36,41395
10718.000,02:58:38,41395
10720.000,02:58:40,41395
10722.000,02:58:42,41395
10724.000,02:58:44,4735
10726.000,02:58:46,
10728.000,02:58:48,
10730.000,02:58:50,
10732.000,02:58:52,
10734.000,02:58:54,
10736.000,02:58:56,47395
10738.000,02:58:58,47395
10740.000,02:59:00,47395
10742.000,02:59:02,47395
10744.000,02:59:04,47395
10746.000,02:59:06,47395
10748.000,02:59:08,47395
10750.000,02:59:10,4730
10752.000,02:59:12,4730
10754.000,02:59:14,4730.0
10756.000,02:59:16,4730.0
10758.000,02:59:18,4730.0
10760.000,02:59:20,4730.0
10762.000,02:59:22,4730.0
10764.000,02:59:24,4730.0
10766.000,02:59:26,4730.0
10768.000,02:59:28,4730.0
10770.000,02:59:30,4730.0
10772.000,02:59:32,4730.0
10774.000,02:59:34,4730.0
10776.000,02:59:36,4730.0
10778.000,02:59:38,47385
10780.000,02:59:40,4730.0
10782.000,02:59:42,4730.0
10784.000,02:59:44,4730.0
10786.000,02:59:46,47385
10788.000,02:59:48,47385
10790.000,02:59:50,47385
10792.000,02:59:52,47385
10794.000,02:59:54,47385
10796.000,02:59:56,47385
10798.000,02:59:58,47385
10800.000,03:00:00,47385
10802.000,03:00:02,47385
10804.000,03:00:04,47385
10806.000,03:00:06,47385
10808.000,03:00:08,47385
10810.000,03:00:10,47380
10812.000,03:00:12,47380
10814.000,03:00:14,47380
10816.000,03:00:16,47380
10818.000,03:00:18,47380
10820.000,03:00:20,47380
10822.000,03:00:22,47385
10824.000,03:00:24,47385
10826.000,03:00:26,47380
10828.000,03:00:28,4738.0
10830.000,03:00:30,
10832.000,03:00:32,
10834.000,03:00:34,4738.0
10836.000,03:00:36,4738.0
10838.000,03:00:38,4738.0
10840.000,03:00:40,4738.0
